Name,Stars,Title,Date,Description,Sentiment
Manoj,5.0,Nice product,2023-11-06,"Battery 10/10
Cemra 10/10
Performance 10/10
Disign 10/10
Display 10/10
Agar pese hai to isse Badiya phone nahi hai market ne Phil haal",Neutral
Faiz,5.0,Nice phone.,2023-11-04,I have purchased natural titanium and it's really awesome. My first phone purchased with my hardwork.,Positive
Abhishek Mukherjee,5.0,Good phone,2023-10-23,No heating issue till now running well with the new software update I have installed lots of apps and the ph is running well,Positive
Seema,1.0,Disgusting Experience,2024-01-13,"The box had a different colour. I order black Titanium....box was black Titanium but phone was natural titanium inside ...It's heart wrenching...Trust shaken...

The phone looks used

It can happen with Apple product also...it's a shock.",Positive
Amazon Customer,1.0,Defective product,2024-01-07,Got a defective product where the camera doest load,Negative
The Sir Sagz,1.0,Screen got scratched,2023-11-04,"Play Video
Didn't use a screen guard for a week and found a scratch on the screen. What a stupid phone. 160k phone and you will get a scratch without even holding the phone. Better get a screen guard the day you receive the phone.",Positive
AbhiJ,5.0,Hot Stuff,2024-02-18,This Phone is like the Central processing unit (CPU) with a screen. It is fast as thunder and got heated like lava after using it for sometime. Camera is better than reflection of mirror and it's screen and overall body is weaker than a mirror i.e. it breaks easily.,Positive
Rahul Kumar,1.0,Amazon sent me an old unit,2023-12-01,"box damaged, no new device smell. Completely ruined my unboxing experience. But the phone is amazing.",Positive
kushal choubisa,5.0,Real Pro phone,2024-02-01,"A17 Pro , 3Nm ,Ray tracing , 5x zoom nailed it completely. A truly freaking flagship mobile so far. iOs 18 will make it more powerful.",Positive
Rahul choudhary,5.0,does charging phone overnight affects battery health??,2024-01-20,"15 pro max >>>> all androids . the speed the camera the new ios justtt superb
the resident evil village runs so smoothly",Negative
Kallol Mondal,5.0,Not Bad !!!,2024-01-12,Overpriced. It should not cost more than 1.1L. Bought it at 1.6L viz 50K extra I felt. Go for 15 instead of pro max. Overhyped phone this one is,Neutral
Arun pratap singh,5.0,I phone15 pro maximum,2024-01-13,"Accha hai bass aur kya bolu.
Haa kabhi lag karta hai,
Aur thoda expensive bhi hai.
Thanks for watching and future review bhi aate rahenge",Positive
Saekirron,3.0,Not as expected,2023-10-12,If at all looking for pro model just because of lidar and action button and camera. Its not value for money as the charging and performance are not upto the mark for both pro and non pro models. I purchased iPhone 15 pro 128gb not happy,Negative
S. Arivalagan,5.0,"I don't have an iPhone, can you get me one ? Please 🥺",2023-12-26,"Iphone always the better than Android , I need the iphone please give me one Amazon please amazon Amazon Amazon",Positive
Placeholder,3.0,Heats,2023-10-02,"Heats very much during charger. Even if apple type c charger is used.
No much difference from 14 pro max.",Negative
Rahul S,5.0,"Worth every penny, awesome battery life",2023-12-04,"If you already have 14 Pro or Pro Max then don't upgrade, but if you've any other Pro or non Pro models go for it. If you need an iPhone with 24-26hr battery life on a single charge then go for Pro Max models. No doubt Apple's 4K 60fps ProRes is really awesome, and the all new type-c port is the best thing Apple has done in years. Also all the type-c cables included in the box are woven design, now expecting this will not turn grey after few months of use.",Positive
Jyothi,5.0,Just Dont Care The Criticism. Very Good,2023-12-20,"Play Video
We Know Nowadays There was so much hate spreading on Iphone 15 Series But as i am a techie, i know most of the critics had never used and talking like trash bin. i Using From Past 1 month, If You Love Photography Or Pro-Gaming then you are good to take this smartphone. Just Dont Care The Criticism.
I Too Had Feel The Phone Is warm while heavy gaming and Photography, But was never like what had they said in news. I Loved The Photos The Phone Gives.",Positive
Vinod,5.0,Best iphone ever,2023-11-16,No heating issue. Even if they exists for you. Use phone on battery saver mode amazing performance Very good phone.,Positive
Better performance than s23 ultra.,5.0,Very light,2023-11-06,"Best performance smartphone
Value for money
Very light phone
No heating issues
Best phone if no budget problem for sure",Positive
Arjun,5.0,Best budget Camera mobile under this price must buy fir good performance,2023-11-01,Nice Phn bought under very good price Super sleek nice handy vulnerable best rate so budget in hatts of to apple for making value products,Positive
Sanket Maity,5.0,Top class,2023-11-04,When you hold this phone in your hand then only you can realise feeling of holding a premium phone 🍎,Positive
Aditya Dubey,4.0,A High end phone for heavy tasks and security.,2024-02-02,"The iPhone 15 pro max is the latest flagship smartphone from Apple, and it offers some impressive features and performance. I have been using it for a month now, and here are my thoughts on it.

Design and Display
The iPhone 15 pro max has a sleek and elegant design, with a stainless steel frame and a ceramic shield glass back. It is available in four colors: silver, graphite, gold, and pacific blue. The phone is water and dust resistant, and it supports wireless charging and MagSafe accessories.

The display is a 6.7-inch OLED screen, with a resolution of 2778 x 1284 pixels and a refresh rate of 120 Hz. The screen is bright, sharp, and smooth, and it supports HDR10 and Dolby Vision. The notch at the top houses the Face ID sensor and the 12 MP selfie camera.

Camera and Battery
The iPhone 15 pro max has a triple rear camera system, consisting of a 12 MP wide-angle lens, a 12 MP telephoto lens, and a 12 MP ultra-wide-angle lens. The camera can capture stunning photos and videos, with optical image stabilization, 5x optical zoom, night mode, portrait mode, and 4K video recording at 60 fps. The camera also supports LiDAR scanning, which enables faster autofocus and better depth sensing.

The battery life of the iPhone 15 pro max is excellent, as it can last for a whole day of heavy usage. The phone supports fast charging, and it can reach 50% charge in 30 minutes with a 20W adapter. The phone also supports wireless charging and MagSafe charging, which can deliver up to 15W of power.

Performance and Software
The iPhone 15 pro max is powered by the A15 Bionic chip, which is the most advanced processor in the market. The chip has a six-core CPU, a five-core GPU, and a 16-core neural engine. The phone can handle any task or app with ease, and it delivers smooth and fast performance. The phone has 6 GB of RAM and comes in three storage options: 128 GB, 256 GB, and 512 GB.

The iPhone 15 pro max runs on iOS 15, which is the latest version of Apple's operating system. iOS 15 offers many new features and improvements, such as widgets, app library, picture-in-picture, app clips, and more. iOS 15 also enhances the privacy and security of the phone, with features like app tracking transparency, sign in with Apple, and Face ID.

Conclusion
The iPhone 15 pro max is a premium and powerful smartphone, that offers a great user experience. The phone has a beautiful design and display, a superb camera and battery, and a blazing-fast performance and software. The phone is expensive, but it is worth the money for anyone who wants the best of the best. I would highly recommend the iPhone 15 pro max to anyone who is looking for a high-end smartphone.",Positive
Amazon Customer,5.0,Good phone,2023-10-21,"Good phone with all thing are there in it.... No need to go for samsung..
Just go and enjoy it",Positive
RudraKumar,5.0,Fastest iPhone,2023-10-22,"Till this date it is the fastest iPhone for gaming and all over daily usage .
Strongest iPhone till now",Positive
Amazon Customer,5.0,Very sweet phone,2023-10-03,Best phone ever seen it's the best phone in the earth worth buyable for those who are 4G iphone users.,Positive
Playboy,5.0,Better than the last Apple Flagship!,2023-10-02,"Got the info it is in stock from X (twitter). Usually always unavailable.
Premium phone from a premium company. Original product.",Positive
Dindayal Bhakat,5.0,Thanks Tech Hub Store,2023-10-04,,Neutral
Placeholder,5.0,Best,2023-11-01,"Play Video
Best camera everything feels like pro Outstanding performance battery life and a premium experience
Performs everything fast and best for gaming and the natural taitanium colour looks so good it looks grey and diffrent from others",Positive
Chutiya_Tha_Main_Jo_Iphone_Kharid_li,1.0,Ghatiya Phone,2023-11-18,Ek number ghatiya phone. dont waste 2lacs on this. Instead pay me some money if you have too much . Dont buy,Positive
ankit m.,1.0,Related girl friend,2023-11-07,"Bro 1 v ladki nhi pategi iss phone se... Bhaut bekar hai
.... Mera paisa doob gya 2lakh..socha bhaut ladki pategi... Bt ab jaa rha hu duke 390 lene syad usse pat jaye.. Amazon",Positive
sannu sharma,1.0,Ghatiya phone,2023-11-19,Hangs a lot! Also lagse when using camera. In settings it shows GS5 PRO MAX VARIENT! 😭😭 I bought it for 60000,Negative
KSHITIZ,1.0,Not worth it,2023-10-21,It seems to be highly expensive and on the other side it's features can't be matched up with Android.It doesn't have fast charging also unlike Android,Neutral
Santosh Bihari,1.0,Bery expwnaive,2023-10-15,"Very bad phone and exoensice
Not good camera nd performace of 10k phn redmi is better than this even nokia dont buy dont buy",Negative
Shailesh Thakor,1.0,"Nothing new ,",2023-10-08,"Nothing new in this phone , just getting things repeated in earlier model, Apple has nothing to offer new, seems forgotten their tag line , think different",Negative
Nuaa Rawat,5.0,Beast Gadget with PROS CONS,2023-11-06,"Pros :
Light weighted ~ My XR weighted more than pro max. It is lighter.
Good performance ~ Very smooth
Good battery life ~ I charged it 100% at 3 PM now after lazy use it is at 61% at 10.30 PM and Next day till 3.33 PM it is at 18%, which is quite good.

Also 5G works good, in my XR there were hardly any networks but it’s antenna is really good. 5G works like a charm.

Cons :
Heating was there in 16.0.x but fixed in 17.0.1, in 16.0.x it heats up around cam area at the top mainly.

Now after the fix,

It heated up in 30-40% charging, then heated up again in 70%, at 80% it is cool, and at 100% it was cool. Which is normal, trust me all iPhones heats up, even my XR heats up but is not observable because of the phone cover.

Battery took around 2 hours to charge(my battery was at 6% I put up on charging around 1 PM and at 2.45 or 3 PM it was around 100% now I have set the limit to 80% for good battery life)

Later at around 100% battery when I used basic app, it heats up a little around cam area but the heat is very minor. Since I am not using any cover so I felt it.

Overall after the fix, the heating is resolved completely, so you can be assured in this area.

Battery backup is quite good, I am using 80% optimised battery option and y’day night I charged it and today till 8.26 PM it is at 27%, I watched video, shopping apps, social media apps heavily.

It keeps a check of your battery charging cycle, since I’m using 80% Limit, the charging has fasten up, it usually takes 35-40 min for 80% and then after it slows down the charging.

Durability : I have checked few reviews, the back panel is weak it has high chances of breaking, the front glass is strong but could get scratches.

USE COVERS AND TEMPERED. Overall for apple users, it is a beast in performance. Do not panic if this gets heats up, it is an APP and OS issue.

I’m observing the apps and OS and the heating area but it is doing brilliant so far.

Cam Quality : I am not liking the front camera pictures, it actually overdo the image, you might not like Selfies but there are plenty of options for video and camera. You can shoot in 4K and Raw max, etc.
I’m not a selfie lover so it is kinda okay for me but you will def not like the after camera processing selfie image.

Sound Quality: The best, superior DOLBY sound quality. I haven’t heard this much of brilliant sound in any of the devices in recent times. Decent sound..!! You will love the music and AV.

FYI : It fell down from a meter height but since I had a good case so nothing happened luckily. pls make sure you have a good cover. I saw videos the back panel is weak due to different assembly in this series.

PS : I’m not a heavy user. I don't play games, so cannot review on the heat and battery while playing games.",Positive
RB,5.0,Worth the upgrade,2023-10-01,"The aluminium has made the phone very light weight you will immediately feel the difference coming from any previous pro max, worth the upgrade if you are coming from 11 series",Positive
Nishant,5.0,Love this pro max,2023-11-07,best iphone ever used,Positive
Santhosh R,1.0,12345santhosh,2024-01-24,Compare to iphone 14 pro max 15 pro max is very worst.. Past 1 month i used 15 pro max i faced lot of heating issue and battery life is worst.. If you want to buy iphone i recommend 14 pro max,Negative
Hi iam veer iphone15 is amazing the battery charger fast it worth,5.0,My experience,2023-11-16,I like all the things in iphone 15 Promax the camera is the world it is totally amazing product Thanks amazon,Positive
